Objectid,Schcd,Schname,Schcat,School_Cat,Schtype,School_Typ,Schmgt,Management,Rururb,Location,Pincode,Dtname,Udise_Stco,Stname,Vilname,Longitude,Latitude,Stcode11,Dtcode11,Sdtcode11,Stname_1,Dtname_1,Sdtname,Udise_Dtco,Udise_Vico,Relevant_Date,Runtime
728627,20020620001,UPG RAJKIYEKRIT MS OKARAHA,2,Primary with Upper Primary,3,Co. Educational,1,Department of Education,1,Rural,822113,PALAMU,20,Jharkhand,OKARAHA,84.123222,24.318833,20,358, ,JHARKHAND,Palamu, ,2002,200206200,2020-03-31,2021-01-17 18:20:25
1045182,10041403401,M.S. BABURBAN,2,Primary with Upper Primary,3,Co. Educational,1,Department of Education,1,Rural,843314,SITAMARHI,10,Bihar,BABURBAN,85.6386,26.5168,10,206, ,BIHAR,Sitamarhi, ,1004,100414034,2020-03-31,2021-01-17 18:20:25
734722,20020610301,UPG PS KHARWARDIH TOLA BILTADIH,1,Primary,3,Co. Educational,1,Department of Education,1,Rural,822113,PALAMU,20,Jharkhand,KHARWARDIH,84.242094,24.384761,20,358, ,JHARKHAND,Palamu, ,2002,200206103,2020-03-31,2021-01-17 18:20:25
500196,20170601802,UPG M.S. KUSHMUNDA,2,Primary with Upper Primary,3,Co. Educational,1,Department of Education,1,Rural,833214,PASHCHIMI SINGHBHUM,20,Jharkhand,KUSHMUNDA,85.795597,22.179181,20,368, ,JHARKHAND,Pashchimi Singhbhum, ,2017,201706018,2020-03-31,2021-01-17 18:20:25
698171,20020300306,UPG PS UTARI TOLA HOTAI,1,Primary,3,Co. Educational,1,Department of Education,1,Rural,822118,PALAMU,20,Jharkhand,HOTAI,84.341383,23.996567,20,358, ,JHARKHAND,Palamu, ,2002,200203003,2020-03-31,2021-01-17 18:20:25
712694,20021005801,UPG RAJKIYEKRIT HIGH SCHOOL RAM PUR,6,Pri. Upper Pri. and Secondary Only,3,Co. Educational,1,Department of Education,1,Rural,822110,PALAMU,20,Jharkhand,RAMPUR,83.989631,24.145461,20,358, ,JHARKHAND,Palamu, ,2002,200210058,2020-03-31,2021-01-17 18:20:25
720209,20020810701,UPG PS RABDA,1,Primary,3,Co. Educational,1,Department of Education,1,Rural,822123,PALAMU,20,Jharkhand,RABDA,84.396222,24.224725,20,358, ,JHARKHAND,Palamu, ,2002,200208107,2020-03-31,2021-01-17 18:20:25
552374,20172502001,UPG M.S. GULIKERA,2,Primary with Upper Primary,3,Co. Educational,1,Department of Education,1,Rural,833105,PASHCHIMI SINGHBHUM,20,Jharkhand,GULIKERA,85.290139,22.647372,20,368, ,JHARKHAND,Pashchimi Singhbhum, ,2017,201725020,2020-03-31,2021-01-17 18:20:25
