,Srn,Charge_Id,Charge_Holder_Name,Date_Of_Creation,Date_Of_Modification,Date_Of_Satisfaction,Amount,Cin,Company_Name,Runtime,Address,Charge_Holder_Clean_Name
398,Y10517565,90389495,STANDRAD CHARTERED BANK,1988-03-05,1997-11-12,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,23-25 M.G. ROAD FORT      Maharashtra  India,STANDRAD CHARTERED BANK
399,Y10517567,90389497,BANK OF CREDIT & COMMERCE INTERNATIONAL LTD.,1988-03-22,,1999-09-30,4138812,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF CREDIT AND COMMERCE INTERNATIONAL
400,Y10517568,90389498,BANK OF CREDIT & COMMERCE INTERNATIONAL LTD.,1988-04-07,,1999-09-30,3000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF CREDIT AND COMMERCE INTERNATIONAL
401,Y10517569,90389499,OMAN INTERNATIONAL BANK LTD.,1988-04-27,,1999-09-30,50000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,OMAN INTERNATIONAL BANK
402,Y10517570,90389500,ORIENTAL BANK OF COMMERCE,1988-05-03,,1999-09-30,639507,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,V.B. GANDHI MARG       Maharashtra  India,ORIENTAL BANK OF COMMERCE
403,Y10517571,90389501,ORIENTAL BANK OF COMMERCE,1988-06-09,,1999-09-30,373587,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,V.B. GANDHI MARG       Maharashtra  India,ORIENTAL BANK OF COMMERCE
404,Y10517572,90389502,ORIENTAL BANK OF COMMERCE,1988-07-06,,1999-09-30,469797,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,V.B. GANDHI MARG       Maharashtra  India,ORIENTAL BANK OF COMMERCE
405,Y10517575,90389505,AMERICAN EXPRESS BANK LTD.,1988-09-29,,1999-09-30,7350654,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,DR. D.N. ROAD       Maharashtra  India,AMERICAN EXPRESS BANK
406,Y10517576,90389506,ALGENENE BANK NIDERLANDS N.V.,1988-10-11,,1999-09-30,358000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN ROAD       Maharashtra  India,ALGENENE BANK NIDERLANDS NV
407,Y10517578,90389508,ORIENTAL BANK OF COMMERCE,1988-11-06,,1999-09-30,467360,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,DR. V.B. GANDHI MARG       Maharashtra  India,ORIENTAL BANK OF COMMERCE
408,Y10517579,90389509,ORIENTAL BANK OF COMMERCE,1988-12-15,,1999-09-30,591794,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,DR. V.B. GANDHI MARG       Maharashtra  India,ORIENTAL BANK OF COMMERCE
409,Y10517583,90389513,CANARA BANK,1989-01-20,,1999-09-30,50200000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,CANARA BANK
410,Y10517584,90389514,STATE BANK OF INDIA,1989-02-24,,1999-09-30,25000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,JUSTICE G.N. VAIDYA MARG       Maharashtra  India,STATE BANK OF INDIA
411,Y10517588,90389518,ICICI BANK LTD.,1989-03-20,,1999-09-30,50000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,ICICI BANK
412,Y10517589,90389519,ALGENGNS BANK,1989-03-30,,1999-09-30,7078000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN ROAD       Maharashtra  India,ALGENGNS BANK
