Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Delhi NCR,Connaught Place,Connaught Place,246,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Sector 29,Sector 29,141,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,"Sector 18, Noida","Sector 18, Noida",203,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Rajouri Garden,Rajouri Garden,291,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Saket,Saket,305,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Dlf Cyber City,Dlf Cyber City,152,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Golf Course Road,Golf Course Road,154,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Dlf Phase 4,Dlf Phase 4,217,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Delhi University-Gtb Nagar,Delhi University-Gtb Nagar,145,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Indirapuram,Indirapuram,708,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Vasant Kunj,Vasant Kunj,289,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Greater Kailash 1 (Gk1),Greater Kailash 1 (Gk1),93,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Chanakyapuri,Chanakyapuri,101,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Rohini,Rohini,1021,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Janpath,Janpath,43,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Hauz Khas Village,Hauz Khas Village,48,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,"Sector 38, Noida","Sector 38, Noida",81,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Janakpuri,Janakpuri,384,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Sector 50,Sector 50,207,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Mg Road,Mg Road,170,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Dlf Phase 3,Dlf Phase 3,381,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Punjabi Bagh,Punjabi Bagh,169,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Netaji Subhash Place,Netaji Subhash Place,97,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Malviya Nagar,Malviya Nagar,356,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Khan Market,Khan Market,51,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Karol Bagh,Karol Bagh,283,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Nehru Place,Nehru Place,90,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Sohna Road,Sohna Road,268,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Delhi NCR,Greater Kailash 2 (Gk2),Greater Kailash 2 (Gk2),100,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Nashik,College Road,College Road,363,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Nashik,Satpur,Satpur,107,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Nashik,Parijat Nagar,Parijat Nagar,91,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Nashik,Panchavati,Panchavati,256,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Nashik,Pathardi Phata,Pathardi Phata,118,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Nashik,Anand Wali Goan,Anand Wali Goan,40,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Nashik,Sharanpur,Sharanpur,57,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Nashik,Veer Sawarkar Nagar,Veer Sawarkar Nagar,29,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Nashik,Patil Nagar,Patil Nagar,17,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Vijay Nagar,Vijay Nagar,880,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,New Palasia,New Palasia,126,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Old Palasia,Old Palasia,173,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Bhawar Kuan,Bhawar Kuan,279,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Rau,Rau,110,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,By Pass Road (North),By Pass Road (North),126,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,South Tukoganj,South Tukoganj,46,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Sapna Sangeeta,Sapna Sangeeta,90,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Rnt Marg,Rnt Marg,46,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,By Pass Road (South),By Pass Road (South),88,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Sarwate Bus Stand,Sarwate Bus Stand,39,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Geeta Bhavan,Geeta Bhavan,67,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Yn Road,Yn Road,37,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Hig-Lig,Hig-Lig,123,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Mr 10 Road,Mr 10 Road,123,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Rajendra Nagar,Rajendra Nagar,120,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Khajrana,Khajrana,111,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Sudama Nagar,Sudama Nagar,110,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Sarafa Bazaar,Sarafa Bazaar,35,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Annapurna Road,Annapurna Road,87,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Press Complex,Press Complex,55,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Manik Bagh Road,Manik Bagh Road,60,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Chhavani,Chhavani,29,Week 13-2023,2023-03-27,2023-03-27 10:58:25
India,Indore,Airport Road,Airport Road,112,Week 13-2023,2023-03-27,2023-03-27 10:58:25
