Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Guwahati,Khanapara,Khanapara,63,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Chandmari,Chandmari,97,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Beltola,Beltola,164,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Ganeshguri,Ganeshguri,94,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Silpukhuri,Silpukhuri,53,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Paltan Bazaar,Paltan Bazaar,108,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Dispur,Dispur,72,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Fancy Bazaar,Fancy Bazaar,47,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Maligaon,Maligaon,95,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Pan Bazaar,Pan Bazaar,55,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Bharalumukh,Bharalumukh,55,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Amingaon,Amingaon,46,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Hatigaon,Hatigaon,99,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Kala Pahar,Kala Pahar,63,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Hengerabari,Hengerabari,30,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Narengi Tinali,Narengi Tinali,50,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Jalukbari,Jalukbari,64,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Kahilipara,Kahilipara,55,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Borjhar,Borjhar,79,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Guwahati,Madhghariya,Madhghariya,7,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Sarabha Nagar,Sarabha Nagar,99,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Gurudev Nagar,Gurudev Nagar,132,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Model Town,Model Town,125,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Civil Lines,Civil Lines,204,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Brs Nagar,Brs Nagar,54,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Rajguru Nagar,Rajguru Nagar,82,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Dugri,Dugri,141,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Pau,Pau,134,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Ludhiana Junction,Ludhiana Junction,256,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Pakhowal Road,Pakhowal Road,80,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Aggar Nagar,Aggar Nagar,102,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Industrial Area,Industrial Area,104,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,"Sector 32, Ludhiana","Sector 32, Ludhiana",211,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Shastri Nagar,Shastri Nagar,84,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Samrala Chowk,Samrala Chowk,93,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Janak Puri,Janak Puri,44,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Hargobind Nagar,Hargobind Nagar,43,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ludhiana,Jawahar Nagar,Jawahar Nagar,48,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Shimla,Longwood,Longwood,100,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Shimla,Sanjauli,Sanjauli,36,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Shimla,Chakkar,Chakkar,35,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Shimla,Kasumpti,Kasumpti,23,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Shimla,Summer Hill,Summer Hill,16,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Shimla,Panthaghati,Panthaghati,8,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Shimla,Mashobra,Mashobra,7,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ooty,Elk Hill,Elk Hill,105,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ooty,Thalayathimund,Thalayathimund,20,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ooty,Kandal,Kandal,19,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ooty,Anna Nagar,Anna Nagar,13,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ooty,Fern Hill,Fern Hill,11,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Ooty,Marlimund,Marlimund,8,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Nashik,College Road,College Road,365,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Nashik,Satpur,Satpur,108,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Nashik,Parijat Nagar,Parijat Nagar,93,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Nashik,Panchavati,Panchavati,257,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Nashik,Pathardi Phata,Pathardi Phata,117,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Nashik,Anand Wali Goan,Anand Wali Goan,40,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Nashik,Sharanpur,Sharanpur,60,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Nashik,Veer Sawarkar Nagar,Veer Sawarkar Nagar,29,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Nashik,Patil Nagar,Patil Nagar,17,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Vijay Nagar,Vijay Nagar,889,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,New Palasia,New Palasia,130,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Old Palasia,Old Palasia,174,Week 14-2023,2023-04-07,2023-04-07 22:38:18
