Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Delhi NCR,Connaught Place,Connaught Place,246,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Sector 29,Sector 29,138,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,"Sector 18, Noida","Sector 18, Noida",204,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Rajouri Garden,Rajouri Garden,287,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Saket,Saket,302,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Dlf Cyber City,Dlf Cyber City,150,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Golf Course Road,Golf Course Road,154,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Dlf Phase 4,Dlf Phase 4,216,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Delhi University-Gtb Nagar,Delhi University-Gtb Nagar,142,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Indirapuram,Indirapuram,701,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Vasant Kunj,Vasant Kunj,284,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Greater Kailash 1 (Gk1),Greater Kailash 1 (Gk1),91,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Chanakyapuri,Chanakyapuri,100,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Rohini,Rohini,1013,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Janpath,Janpath,43,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Hauz Khas Village,Hauz Khas Village,47,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,"Sector 38, Noida","Sector 38, Noida",80,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Janakpuri,Janakpuri,382,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Sector 50,Sector 50,206,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Mg Road,Mg Road,169,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Dlf Phase 3,Dlf Phase 3,373,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Punjabi Bagh,Punjabi Bagh,169,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Netaji Subhash Place,Netaji Subhash Place,97,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Malviya Nagar,Malviya Nagar,352,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Khan Market,Khan Market,52,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Karol Bagh,Karol Bagh,277,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Nehru Place,Nehru Place,89,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Sohna Road,Sohna Road,268,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Delhi NCR,Greater Kailash 2 (Gk2),Greater Kailash 2 (Gk2),99,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Maharana Pratap Nagar,Maharana Pratap Nagar,338,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Tt Nagar,Tt Nagar,230,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Arera Colony,Arera Colony,197,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Gulmohar Colony,Gulmohar Colony,222,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Kohefiza,Kohefiza,142,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Peer Gate Area,Peer Gate Area,169,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Habib Ganj,Habib Ganj,82,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Bhel,Bhel,367,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Airport Area,Airport Area,136,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Jp Nagar,Jp Nagar,134,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Bhopal,Jhangirabad,Jhangirabad,171,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Cidco,Cidco,306,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Nirala Bazar,Nirala Bazar,144,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Chikalthana,Chikalthana,51,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Usmanpura,Usmanpura,176,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Akashwani,Akashwani,31,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Gadia Vihar,Gadia Vihar,63,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Midc,Midc,61,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Shahgunj,Shahgunj,67,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Ulkanagari,Ulkanagari,63,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Mondha,Mondha,40,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Nyay Nagar,Nyay Nagar,55,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Sindhi Colony,Sindhi Colony,31,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Gulmandi,Gulmandi,40,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Waluj,Waluj,146,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Harsul,Harsul,49,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Anand Nagar,Anand Nagar,11,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Jaswantpura,Jaswantpura,37,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Aurangabad,Delhi Gate Area,Delhi Gate Area,20,Week 11-2023,2023-03-13,2023-03-13 10:58:24
