Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Pushkar,Badi Basti,Badi Basti,58,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Pushkar,Ganahera,Ganahera,24,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Leh,Main Bazaar,Main Bazaar,60,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Leh,Skara Road,Skara Road,5,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Haridwar,Bhel Township,Bhel Township,139,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Haridwar,Jwalapur,Jwalapur,130,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Haridwar,Har Ki Pauri,Har Ki Pauri,119,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Haridwar,Ranipur,Ranipur,105,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Haridwar,Devpura,Devpura,84,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Haridwar,Kankhal,Kankhal,72,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Haridwar,Salempur Mahdood,Salempur Mahdood,18,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Palayam,Palayam,156,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Kulathoor,Kulathoor,129,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Ambalamukku,Ambalamukku,87,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Kumarapuram,Kumarapuram,77,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Kannanthura,Kannanthura,69,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Thycaud,Thycaud,62,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Kazhakkoottam,Kazhakkoottam,53,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Sasthamangalam,Sasthamangalam,50,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Kesavadasapuram,Kesavadasapuram,49,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Poojapura,Poojapura,45,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Karamana,Karamana,36,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Kovalam,Kovalam,34,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Nedumungad,Nedumungad,32,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Vazhuthacaud,Vazhuthacaud,31,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Ulloor,Ulloor,27,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Neyattinkara,Neyattinkara,25,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Sreekariyam,Sreekariyam,24,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Balaramapuram,Balaramapuram,23,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Nemom,Nemom,21,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Nettayam,Nettayam,20,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Pappanamcode,Pappanamcode,16,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Peroorkada,Peroorkada,16,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Nandavanam,Nandavanam,13,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Mannanthala,Mannanthala,12,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Poonthura,Poonthura,8,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Thumba,Thumba,6,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Trivandrum,Kattakada,Kattakada,5,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Cuttack,Buxi Bazaar,Buxi Bazaar,115,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Cuttack,Siba Bazaar,Siba Bazaar,113,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Cuttack,Cda Sector 6,Cda Sector 6,106,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Cuttack,Mal Godown Market,Mal Godown Market,85,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Cuttack,Sutahat,Sutahat,41,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Cuttack,Naya Bazaar,Naya Bazaar,40,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Cuttack,Police Colony,Police Colony,30,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Cuttack,Kalyani Nagar,Kalyani Nagar,26,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Cuttack,Bidanasi,Bidanasi,18,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Neemrana,Neemrana,Neemrana,56,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Khajuraho,Khajuraho,Khajuraho,19,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Pichola,Pichola,66,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Fateh Sagar,Fateh Sagar,90,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,City Centre,City Centre,256,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Panchwati,Panchwati,135,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Chandpole,Chandpole,142,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Bhuwana,Bhuwana,72,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Shobhagpura,Shobhagpura,133,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Ashok Nagar,Ashok Nagar,59,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Hiran Magri,Hiran Magri,220,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Bhopalpura,Bhopalpura,34,Week 11-2023,2023-03-13,2023-03-13 10:58:24
India,Udaipur,Pratap Nagar,Pratap Nagar,69,Week 11-2023,2023-03-13,2023-03-13 10:58:24
