Village_Name,State_Name,District_Name,Block_Name,Pincode
WAINA,bihar,SITAMARHI,RUNNI SAIDPUR,843323
WARD NO-03,bihar,SITAMARHI,DUMRA,843301
WARD NO-12,bihar,PASHCHIM CHAMPARAN,BAGAHA-I,845101
WARD NO 06,bihar,PASHCHIM CHAMPARAN,RAMNAGAR,845455
WARD NO.01,odisha,NABARANGPUR,UMERKOTE,762100
WARD NO.1,odisha,KORAPUT,JEYPORE,766015
WARD NO.12,odisha,KORAPUT,JEYPORE,762100
WARD NO.13,odisha,KANDHAMAL,G.UDAYAGIRI,762100
WARD NO.22,odisha,KORAPUT,JEYPORE,764002
WARD10,odisha,SUNDERGARH,BISRA,769013
WUDANTPUR,uttar pradesh,BALRAMPUR,TULSIPUR,271208
YOGIDIH,jharkhand,DEOGHAR,DEOGHAR,814112
ZOUR,jharkhand,PALAMU,DALTONGANJ,822101
