State,District,Block,Village,Pincode,Geocode
Jharkhand,Palamu,Haidarnagar,Pataria,822115.0,"['https://maps.google.com/maps?ll=0,0&z=1&t=h&hl=en&gl=US&mapclient=embed&q=Patratu%20Garu%20Palamu%20Jharkhand', 'https://www.google.com/intl/en_US/help/terms_maps.html', 'https://www.google.com/maps/@0,0,1z/data=!3m1!1e3!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3']"
Odisha,Nabarangpur,Umerkote,Dandasora,764073.0,"['https://maps.google.com/maps?ll=0,0&z=1&t=h&hl=en&gl=US&mapclient=embed&q=Dondasara%20Umarkote%20Nabarangapur%20Odisha', 'https://www.google.com/intl/en_US/help/terms_maps.html', 'https://www.google.com/maps/@0,0,1z/data=!3m1!1e3!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3']"
Uttar Pradesh,Balrampur,Tulsipur,Vishun Pur Airhaniya,271205.0,"['https://maps.google.com/maps?ll=0,0&z=1&t=h&hl=en&gl=US&mapclient=embed&q=Bishunpur%20Khairahnia%20Tulsipur%20Balrampur%20Uttar%20Pradesh', 'https://www.google.com/intl/en_US/help/terms_maps.html', 'https://www.google.com/maps/@0,0,1z/data=!3m1!1e3!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3']"
