Objectid,Schcd,Schname,Schcat,School_Cat,Schtype,School_Typ,Schmgt,Management,Rururb,Location,Pincode,Dtname,Udise_Stco,Stname,Vilname,Longitude,Latitude,Stcode11,Dtcode11,Sdtcode11,Stname_1,Dtname_1,Sdtname,Udise_Dtco,Udise_Vico,Relevant_Date,Runtime
496699,20171203901,MIDDLE SCHOOL ANDHARI,2,Primary with Upper Primary,3,Co. Educational,1,Department of Education,1,Rural,833214,PASHCHIMI SINGHBHUM,20,Jharkhand,ANDHARI,85.907806,22.146583,20,368, ,JHARKHAND,Pashchimi Singhbhum, ,2017,201712039,2020-03-31,2021-01-15 16:20:50
704742,20020301903,UPG PS PIRI MORE,1,Primary,3,Co. Educational,1,Department of Education,1,Rural,822118,PALAMU,20,Jharkhand,PARSIYA,84.297867,24.063017,20,358, ,JHARKHAND,Palamu, ,2002,200203019,2020-03-31,2021-01-15 16:20:50
743348,20070317501,GOVT. UPG M .S BARWA,2,Primary with Upper Primary,3,Co. Educational,1,Department of Education,1,Rural,814152,DEOGHAR,20,Jharkhand,BARWA,86.560571,24.475611,20,350, ,JHARKHAND,Deoghar, ,2007,200703175,2020-03-31,2021-01-15 16:20:50
1099331,10010602603,GOVT. P.S. BIRWA (TIWARI TOLA),1,Primary,3,Co. Educational,1,Department of Education,1,Rural,845454,PASHCHIM CHAMPARAN,10,Bihar,HARPUR,84.6723,26.8617,10,203, ,BIHAR,Pashchim Champaran, ,1001,100106026,2020-03-31,2021-01-15 16:20:50
1023730,10040402307,P.S. TELI TOLA BAGHARI,1,Primary,3,Co. Educational,1,Department of Education,1,Rural,843323,SITAMARHI,10,Bihar,BAGHARI,85.5774,26.4199,10,206, ,BIHAR,Sitamarhi, ,1004,100404023,2020-03-31,2021-01-15 16:20:50
730713,20020609812,UPG PS DAKSHIN TOLA CHIRU,1,Primary,3,Co. Educational,1,Department of Education,1,Rural,822113,PALAMU,20,Jharkhand,CHIRU,84.256414,24.341081,20,358, ,JHARKHAND,Palamu, ,2002,200206098,2020-03-31,2021-01-15 16:20:50
