Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Laxmangarh,Laxmangarh,Laxmangarh,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sivasagar,Sivasagar,Sivasagar,41,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Goalpara,Goalpara,Goalpara,16,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,North Lakhimpur,North Lakhimpur,North Lakhimpur,50,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Umred,Umred,Umred,35,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kandi,Kandi,Kandi,11,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Amalapuram,Amalapuram,Amalapuram,14,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Rampurhat,Rampurhat,Rampurhat,9,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Tirur,Tirur,Tirur,28,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Anjangaon,Anjangaon,Anjangaon,12,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sri Dungargarh,Sridungargarh,Sridungargarh,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Suratgarh,Suratgarh,Suratgarh,45,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ilkal,Ilkal,Ilkal,19,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dimapur,Dimapur,Dimapur,29,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bolpur,Bolpur,Bolpur,60,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Una,Una,Una,7,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Shegaon,Shegaon,Shegaon,31,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Doddaballapura,Doddaballapura,Doddaballapura,37,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Palitana,Palitana,Palitana,9,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Khalilabad,Khalilabad,Khalilabad,33,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Khatauli,Khatauli,Khatauli,24,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Mandla,Mandla,Mandla,43,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kokrajhar,Kokrajhar,Kokrajhar,43,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bongaigaon,Bongaigaon,Bongaigaon,57,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Unjha,Unjha,Unjha,5,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Gobichettipalayam,Gobichettipalayam,Gobichettipalayam,33,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Modasa,Modasa,Modasa,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Arambag,Arambag,Arambag,23,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kandukur,Kandukur,Kandukur,6,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Tundla,Tundla,Tundla,30,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Tandur,Tandur,Tandur,8,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Upleta,Upleta,Upleta,10,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dhenkanal,Dhenkanal,Dhenkanal,22,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Rayagada,Rayagada,Rayagada,35,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Supaul,Supaul,Supaul,6,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Attur,Attur,Attur,16,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Baraut,Baraut,Baraut,58,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Narsinghpur,Narsinghpur,Narsinghpur,32,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Jamakhandi,Jamkhandi,Jamkhandi,10,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Nawalgarh,Nawalgarh,Nawalgarh,13,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Uran Islampur,Uran Islampur,Uran Islampur,70,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kalna,Kalna,Kalna,23,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Basavakalyan,Basavakalyan,Basavakalyan,8,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cumbum,Cumbum,Cumbum,30,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Shajapur,Shajapur,Shajapur,21,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Siddhpur,Sidhpur,Sidhpur,8,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udumalaipettai,Udumalaipettai,Udumalaipettai,28,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sheopur,Sheopur,Sheopur,24,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Islampur,Islampur,Islampur,28,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kopargaon,Kopargaon,Kopargaon,30,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kishanganj,Kishanganj,Kishanganj,31,Week 09-2023,2023-03-02,2023-03-02 08:50:53
