Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Trivandrum,Peroorkada,Peroorkada,16,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Trivandrum,Pappanamcode,Pappanamcode,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Trivandrum,Nandavanam,Nandavanam,13,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Trivandrum,Mannanthala,Mannanthala,12,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Trivandrum,Poonthura,Poonthura,8,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Trivandrum,Thumba,Thumba,6,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Trivandrum,Kattakada,Kattakada,5,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cuttack,Buxi Bazaar,Buxi Bazaar,116,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cuttack,Siba Bazaar,Siba Bazaar,114,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cuttack,Cda Sector 6,Cda Sector 6,105,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cuttack,Mal Godown Market,Mal Godown Market,85,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cuttack,Sutahat,Sutahat,42,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cuttack,Naya Bazaar,Naya Bazaar,41,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cuttack,Police Colony,Police Colony,31,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cuttack,Kalyani Nagar,Kalyani Nagar,26,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cuttack,Bidanasi,Bidanasi,18,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Neemrana,Neemrana,Neemrana,56,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Khajuraho,Khajuraho,Khajuraho,19,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Pichola,Pichola,57,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Fateh Sagar,Fateh Sagar,89,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,City Centre,City Centre,250,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Panchwati,Panchwati,134,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Chandpole,Chandpole,126,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Bhuwana,Bhuwana,68,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Shobhagpura,Shobhagpura,129,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Ashok Nagar,Ashok Nagar,56,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Hiran Magri,Hiran Magri,209,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Bhopalpura,Bhopalpura,32,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Pratap Nagar,Pratap Nagar,63,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Subhash Nagar,Subhash Nagar,36,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Shakti Nagar,Shakti Nagar,46,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Fatehpura,Fatehpura,40,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Pahada,Pahada,19,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Ganesh Nagar,Ganesh Nagar,29,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Sukher,Sukher,31,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Sundarwas,Sundarwas,32,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Udaipur,Eklingpura,Eklingpura,23,Week 09-2023,2023-03-02,2023-03-02 08:50:53
