Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Dhar,Dhar,Dhar,58,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Damoh,Damoh,Damoh,70,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chhatarpur,Chhatarpur,Chhatarpur,84,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Gudivada,Gudivada,Gudivada,44,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chirala,Chirala,Chirala,35,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Burhanpur,Burhanpur,Burhanpur,57,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bina,Bina,Bina,38,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sultanpur,Sultanpur,Sultanpur,61,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sitapur,Sitapur,Sitapur,99,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Balaghat,Balaghat,Balaghat,60,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Thodupuzha,Thodupuzha,Thodupuzha,60,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Pathanamthitta,Pathanamthitta,Pathanamthitta,78,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bobbili,Bobbili,Bobbili,11,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Adoni,Adoni,Adoni,67,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Tanuku,Tanuku,Tanuku,98,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kasaragod,Kasaragod,Kasaragod,29,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Beawar,Beawar,Beawar,82,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chapra,Chhapra,Chhapra,58,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Behror,Behror,Behror,70,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Begusarai,Begusarai,Begusarai,95,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bundi,Bundi,Bundi,79,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Nathdwara,Nathdwara,Nathdwara,22,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Raniganj,Raniganj,Raniganj,38,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Amreli,Amreli,Amreli,17,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ramgarh,Ramgarh,Ramgarh,74,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Jagdalpur,Jagdalpur,Jagdalpur,106,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Hazaribagh,Hazaribagh,Hazaribagh,131,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Muvattupuzha,Muvattupuzha,Muvattupuzha,83,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Modinagar,Modinagar,Modinagar,194,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Modinagar,Muradnagar,Muradnagar,79,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bahadurgarh,Bahadurgarh,Bahadurgarh,238,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ambikapur,Ambikapur,Ambikapur,87,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Faizabad-Ayodhya ,Faizabad-Ayodhya,Faizabad-Ayodhya,201,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chitradurga,Chitradurga,Chitradurga,87,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bidar,Bidar,Bidar,94,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Hosur,Hosur,Hosur,237,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sangamner,Sangamner,Sangamner,139,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sohna,Sohna,Sohna,33,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Narnaul,Narnaul,Narnaul,80,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Jhajjar,Jhajjar,Jhajjar,52,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ichalkaranji,Ichalkaranji,Ichalkaranji,213,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Charkhi Dadri,Charkhi Dadri,Charkhi Dadri,54,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Jalna,Jalna,Jalna,197,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kundapura-Koteshwar,Kundapura-Koteshwar,Kundapura-Koteshwar,36,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Farrukhabad,Farrukhabad,Farrukhabad,90,Week 09-2023,2023-03-02,2023-03-02 08:50:53
