,0,1,2
190,fino payments bank,fino payments bank,True
191,firstrand bank,firstrand bank,True
192,nainital bank,nainital bank,True
193,nsdl payments bank,nsdl payments bank,True
194,ujjivan small finance bank,ujjivan small finance bank,True
195,woori bank,woori bank,True
196,bank of america,bank of america,True
197,capital small finance bank,capital small finance bank,True
198,fincare small finance bank,fincare small finance bank,True
199,jana small finance bank,jana small finance bank,True
200,north east small finance bank,north east small finance bank,True
201,royal bank of scotland,royal bank of scotland,True
202,suryoday small finance bank,suryoday small finance bank,True
203,hongkong & shanghai banking corporation,hongkong & shanghai banking corporation,True
204,unity small finance bank,unity small finance bank,True
205,shivalik small finance bank,shivalik small finance bank,True
206,aditya birla idea payments bank,aditya birla idea payments bank,True
207,bank of baharain & kuwait,bank of baharain & kuwait,True
208,doha bank,doha bank,True
209,jio payments bank,jio payments bank,True
210,jp morgan chase bank,jp morgan chase bank,True
211,shinhan bank,shinhan bank,True
212,united overseas bank,united overseas bank,True
213,a p mahesh co op urban bank,a p mahesh co op urban bank,True
214,abhyudaya co op bank,abhyudaya co op bank,True
215,ahmedabad district co op bank,ahmedabad mercantile co op bank,False
216,ahmedabad mercantile co op bank,ahmedabad mercantile co op bank,True
217,ahmednagar district central co op bank,ahmednagar district central co op bank,True
218,ahmednagar merchants co op bank,ahmednagar district central co op bank,False
219,ajara urban co op bank,ajara urban co op bank,True
220,akola district central co op bank,akola district central co op bank,True
221,akola janata commercial co op bank,akola janata commercial co op bank,True
222,akola urban co op bank,akola district central co op bank,False
223,ambarnath jaihind co op bank,ambarnath jaihind co op bank,True
224,ambur co op urban bank,nilambur co op urban bank,False
225,andhra pradesh grameena bank,andhra pradesh grameena vikas bank,False
226,andhra pradesh grameena vikas bank,andhra pradesh grameena vikas bank,True
227,andhra pradesh state co op bank,andhra pradesh state co op bank,True
228,apna sahakari bank,apna sahakari bank,True
229,arvind sahakari bank,arvind sahakari bank,True
230,banaskantha mercantile co op bank,banaskantha mercantile co op bank,True
231,bassein catholic co op bank,bassein catholic co op bank,True
232,bassin catholic co op bank,bassein catholic co op bank,False
233,bhagini nivedita sahakari bank,bhagini nivedita sahakari bank,True
234,bharat co op bank,bharat co op bank,True
235,bombay mercantile co op bank,bombay mercantile co op bank,True
236,burdwan central co op bank,burdwan central co op bank,True
237,citizen credit co op bank,citizen credit co op bank,True
238,coastal local area bank,coastal local area bank,True
239,cosmos co op bank,cosmos co op bank,True
240,deogiri nagari sahakari bank,deogiri nagari sahakari bank,True
241,dmk jaoli bank,dmk jaoli bank,True
242,durgapur steel peoples co op bank,durgapur steel peoples co op bank,True
243,greater bombay co op bank,greater bombay co op bank,True
244,gujarat state co op bank,gujarat state co op bank,True
245,haryana state co op apex bank,haryana state co op apex bank,True
246,hasti co op bank,hasti co op bank,True
247,hutatma sahakari bank,hutatma sahakari bank,True
248,jalgaon janata sahakari bank,jalgaon janata sahakari bank,True
249,jalgaon peopels co op bank,jalgaon peopels co op bank,True
250,janakalyan sahakari bank,janakalyan sahakari bank,True
251,janatha seva co op bank,janatha seva co op bank,True
252,jankalyan sahakari bank,janakalyan sahakari bank,False
253,jantha seva co op bank,janatha seva co op bank,False
254,kalyan janata sahakari bank,kalyan janata sahakari bank,True
255,karnataka vikas grameena bank,karnataka vikas grameena bank,True
256,kaveri grameena bank,kaveri grameena bank,True
257,kerala gramin bank,kerala gramin bank,True
258,kerala state co op bank,kerala state co op bank,True
259,kolhapur urban co op bank,kolhapur urban co op bank,True
260,kozhikode district co op bank,kozhikode district co op bank,True
261,maharashtra gramin bank,maharashtra gramin bank,True
262,maharashtra state co op bank,maharashtra state co op bank,True
263,mahesh sahakari bank pune,mahesh sahakari bank pune,True
264,malad sahakari bank,malad sahakari bank,True
265,meghalaya co op apex bank,meghalaya co op apex bank,True
