,0,1,2
173,man trucks india,man trucks india,True
174,india kawasaki motors,india kawasaki motors,True
175,telco,telco,True
176,triumph motorcycles,triumph motorcycles,True
177,triumph motorcycles india,triumph motorcycles,False
178,bull machines,bull machines,True
179,kinetic green energy & power solutions,kinetic green energy & power solutions,True
180,kinetic green energy sol,kinetic green energy & power solutions,False
181,daewoo motors india,daewoo motors india,True
182,daewoo power india,daewoo motors india,False
183,porsche,porsche ag germany,False
184,porsche ag,porsche ag germany,False
185,porsche ag germany,porsche ag germany,True
186,local,local,True
187,lohia auto industries,lohia auto industries,True
188,okinawa autotech,okinawa autotech,True
189,maruti agro industries,maruti industries,False
190,maruti agro products,maruti industries,False
191,maruti engineering works,maruti industries,False
192,maruti industries,maruti industries,True
193,maruti infrastructure,maruti industries,False
194,maruti iron works,maruti industries,False
195,maruti mechanical works,maruti industries,False
196,maruti trailers,maruti industries,False
197,maruti welding works,maruti industries,False
198,electrotherm,electrotherm,True
199,electrotherm (india),electrotherm,False
200,electrotherm india,electrotherm,False
201,agro auto industries,agro industries,False
202,agro industries,agro industries,True
203,dsk motowheels,dsk motowheels,True
204,new holland construction equipment,new holland construction equipment,True
205,rtil,til,False
206,til,til,True
207,3gb technology,3gb technology,True
208,byd,byd india,False
209,byd auto,byd india,False
210,byd india,byd india,True
211,greaves cotton,greaves cotton,True
212,greaves cotton and,greaves cotton,False
213,greaves india,greaves cotton,False
214,classic legends,classic legends,True
215,beml,beml,True
216,escort jcb,escort jcb,True
217,nic test account-1,nic test account-1,True
218,gromax agri equipment,gromax agri equipment,True
219,aaditya emotors india,aaditya emotors india,True
220,scania commercial vehicles india,scania commercial vehicles india,True
221,ather energy,ather energy,True
222,captain tractors,captain tractors,True
223,adico escorts agri equipments,adico escorts agri equipments,True
224,gillpreet agro industries,preet agro industries,False
225,inderpreet agro industries,preet agro industries,False
226,manpreet agro industries,preet agro industries,False
227,preet agro industries,preet agro industries,True
228,klb komaki,klb komaki,True
229,kinetic honda motor,kinetic motor company,False
230,kinetic motor company,kinetic motor company,True
231,voltas,voltas,True
232,tata advanced materials,tata advanced systems,False
233,tata advanced systems,tata advanced systems,True
234,mlr auto,mlr auto,True
235,mlr auto balanagar,mlr auto,False
236,mlr motors,mlr auto,False
237,polaris india,polaris india,True
238,polaris industries inc,polaris india,False
239,wirtgen india,wirtgen india,True
240,schwing stetter (india),schwing stetter (india),True
241,schwing stetter india,schwing stetter (india),False
242,a3t incorported,a3t incorported,True
243,ola,ola,True
244,volvo group india buses division,volvo group india buses division,True
245,liugong ind,liugong india,False
246,liugong india,liugong india,True
247,a motors,a motors,True
248,a s motors,a motors,False
249,bsa motors,a motors,False
250,maa motors works,a motors,False
251,maa motors workshop,a motors,False
252,mona motors,a motors,False
253,kawasaki heavy indus japan,kawasaki heavy industries,False
254,kawasaki heavy industries,kawasaki heavy industries,True
255,adishwar auto ride india,adishwar auto ride india,True
256,manitou equipment india,manitou equipment india,True
257,vehicle factory jabalpur,vehicle factory jabalpur,True
258,doosan bobcat india,doosan bobcat india,True
259,godrej & boyce mfg co,godrej & boyce mfg co,True
260,ducati motor holding s p a,ducati motor holding s p a,True
261,terex equipment,terex equipment,True
262,ion,kion india,False
263,kion india,kion india,True
264,majestic auto,majestic auto,True
265,majestic hotels,majestic auto,False
266,global automobiles,global automobiles,True
267,komatsu india,komatsu india,True
268,komatsu japan,komatsu india,False
269,ktm motorrad ag,ktm motorrad ag,True
270,massey ferguson,massey ferguson,True
271,hyundai motors south korea,hyundai motors south korea,True
272,macons equipments,macons equipments,True
273,yc electric vehicle,yc electric vehicle,True
274,bentley,bentley motors,False
275,bentley motors,bentley motors,True
276,bentley systems,bentley motors,False
277,sonalika international tractors,sonalika international tractors,True
278,kumar engineering,kumar motors,False
279,kumar engineering works,kumar motors,False
280,kumar international,kumar motors,False
281,kumar motors,kumar motors,True
282,tata international,tata international dlt,False
283,tata international dlt,tata international dlt,True
284,apollo carmix equipments,apollo carmix equipments,True
285,lectrix ev,lectrix ev,True
286,saera electric auto,saera electric auto,True
287,ducati india,ducati india,True
288,fcaiap fca india automobiles,fcaiap fca india automobiles,True
289,jaya automotives,jaya automotives,True
290,kurukshetra automobiles (p),kurukshetra automobiles (p),True
291,pur energy,pur energy,True
292,rolls royce,rolls royce,True
293,aditya agro industries,aditya agro industries,True
294,aditya engineering,aditya agro industries,False
295,aditya sai industries,aditya agro industries,False
296,aditya steel & agro industry,aditya agro industries,False
297,l & t realty,l & t construction equipment,False
298,ashok leyland john deere const equip comp,ashok leyland john deere const equip comp,True
299,ashok leyland john deere construction equipment,ashok leyland john deere const equip comp,False
300,dilli electric auto,dilli electric auto,True
301,a b excavators & earthmovers,a b excavators & earthmovers,True
302,3s industries,3s industries,True
303,farmer tractor metoda g i d c,farmer tractor metoda g i d c,True
304,agri king tractors & equipments,agri king tractors & equipments,True
305,k s agricultural industries,k s agricultural industries,True
306,saksham tech auto,shriram auto tech,False
307,saksham tech automobiles,shriram auto tech,False
308,shriram,shriram auto tech,False
309,shriram auto tech,shriram auto tech,True
310,shriram energy systems,shriram auto tech,False
311,shriram powergen,shriram auto tech,False
312,shriram urban co op bank,shriram auto tech,False
313,champion poly plast,champion poly plast,True
314,revolt intellicorp,revolt intellicorp,True
315,okaya ev,okaya ev,True
316,willys india,willys india,True
317,standard combines,standard combines,True
318,harley davidson (importer: hero motocorp),harley davidson (importer: hero motocorp),True
319,ammann apollo india,ammann apollo india,True
320,kanti automobiles,kranti automobiles,False
321,kranti automobiles,kranti automobiles,True
322,kranti international,kranti automobiles,False
323,pal diesal,pal diesal,True
324,a1 heavy equipments developer,a1 heavy equipments developer,True
325,being india energy & technology,being india energy & technology,True
326,um lohia two wheelers,um lohia two wheelers,True
327,kartar agro engineers,kartar agro industries,False
328,kartar agro industries,kartar agro industries,True
329,satkartar agro works,kartar agro industries,False
330,chatelec vehicles india,chatelec vehicles india,True
331,new holland fiat india,new holland fiat india,True
332,sooraj automobiles,sooraj automobiles,True
333,bajaj implements,bajaj implements,True
334,ideal jawa india,ideal jawa india,True
335,grove india,grove india,True
336,aadhya enterprises,aadhya enterprises,True
337,claas,claas india,False
338,claas india,claas india,True
339,sany heavy industry india,sany heavy industry india,True
340,vibgyor allied industries,vibgyor vehicles,False
341,vibgyor allied infrastructure,vibgyor vehicles,False
342,vibgyor gold,vibgyor vehicles,False
343,vibgyor vehicles,vibgyor vehicles,True
344,bharat engineering works,bharat motors,False
345,bharat infrastructure & engineering,bharat motors,False
346,bharat motors,bharat motors,True
347,bharat trailers,bharat motors,False
348,bharati motors,bharat motors,False
349,ningbo longjia (importer: adishwar auto),ningbo longjia (importer: adishwar auto),True
350,omega seiki,omega seiki,True
351,wardwizard innovations & mobility,wardwizard innovations & mobility,True
352,api motors,api motors,True
353,doosan int india,doosan int india,True
354,doosan power systems,doosan int india,False
355,doosan power systems india,doosan int india,False
356,atlas copco,atlas copco india,False
357,atlas copco india,atlas copco india,True
358,qianjiang-keeway (importer: adishwar auto),qianjiang-keeway (importer: adishwar auto),True
359,zhejiang qianjiang (importer: adishwar auto),qianjiang-keeway (importer: adishwar auto),False
360,aashi india automobiles,aashi india automobiles,True
361,automobile products of india,automobile products of india,True
362,bal agro industries,balaji agro industries,False
363,balaji agro agencies,balaji agro industries,False
364,balaji agro industries,balaji agro industries,True
365,balaji energy,balaji agro industries,False
366,balaji engineering works,balaji agro industries,False
367,balaji industries,balaji agro industries,False
368,balaji overseas,balaji agro industries,False
369,shivaji agro industries,balaji agro industries,False
370,shivam agro industries,balaji agro industries,False
371,john deere india (crop solution div),john deere india (crop solution div),True
372,chetak technology,chetak technology,True
373,garware motors,garware motors,True
374,bharath engineering works,bharath industries,False
375,bharath engineering works nalgonda,bharath industries,False
376,bharath industries,bharath industries,True
377,exide,exide industries,False
378,exide industries,exide industries,True
379,exide life,exide industries,False
380,pace agro,pace agro,True
381,a k auto electrical,a k auto electrical,True
382,jitendra new ev tech,jitendra new ev-tech,False
383,jitendra new ev-tech,jitendra new ev-tech,True
384,sks trade india,sks trade india,True
385,zhejiang cfmoto (importer: adishwar auto),zhejiang changling (importer: adishwar auto),False
386,zhejiang changling (importer: adishwar auto),zhejiang changling (importer: adishwar auto),True
387,zhejiang morni (importer: adishwar auto),zhejiang changling (importer: adishwar auto),False
388,avon cycles,avon cycles,True
389,bafna auto cars,bafna auto cars,True
390,tedc,tedc,True
391,a d agro works,a d agro works,True
392,twenty two motors,twenty two motors,True
393,vintage vehicles,vintage vehicles,True
394,liebherr,liebherr,True
395,liebherr appliances india,liebherr,False
396,liebherr india,liebherr,False
397,s m,s m,True
398,s m automobiles,s m,False
399,s m automotive,s m,False
400,s m i,s m,False
401,gujarat energy transmission corp,gujarat tractor corp,False
402,gujarat tractor corp,gujarat tractor corp,True
403,k automobiles,kerala automobiles,False
404,kbs automobiles,kerala automobiles,False
405,kerala,kerala automobiles,False
406,kerala automobiles,kerala automobiles,True
407,kerala vision,kerala automobiles,False
408,r n a i p,r n a i p,True
409,shri barsana e-vehicles,shri barsana e-vehicles,True
410,akash agro industries,akash agro industries,True
