Slide_No,Chart_Title,Variable_Column,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Unit
7,Passenger Vehicle: Sub-Category - Q3 Performance Dec '22,PVs - Passenger Cars - Q3 Domestic Sales,520.34,476.02,521.73,348.64,419.88,nan,In '000
7,Passenger Vehicle: Sub-Category - Q3 Performance Dec '22,PVs - Utility Vehicles - Q3 Domestic Sales,217.86,278.81,339.28,382.32,487.14,nan,In '000
7,Passenger Vehicle: Sub-Category - Q3 Performance Dec '22,PVs - Vans - Q3 Domestic Sales,50.77,29.79,36.90,30.17,27.94,nan,In '000
8,Commercial Vehicles: Sub-Category - Q3 Performance Dec '22,CVs - LCV - Q3 Domestic Sales,148.43,141.67,141.84,130.74,141.43,nan,In '000
8,Commercial Vehicles: Sub-Category - Q3 Performance Dec '22,CVs - M&HCV - Q3 Domestic Sales,87.52,53.54,51.19,63.96,85.68,nan,In '000
9,Commercial Vehicles- Passengers & Goods - Q3 Performance Dec '22,LCV Goods - Q3 Domestic Sales ,140.51,132.42,139.04,127.21,133.34,nan,In '000
9,Commercial Vehicles- Passengers & Goods - Q3 Performance Dec '22,LCV Passenger - Q3 Domestic Sales ,7.91,9.25,2.80,3.53,8.09,nan,In '000
9,Commercial Vehicles- Passengers & Goods - Q3 Performance Dec '22,M&HCV Goods - Q3 Domestic Sales ,80.04,42.51,49.47,60.35,77.29,nan,In '000
9,Commercial Vehicles- Passengers & Goods - Q3 Performance Dec '22,M&HCV Passenger - Q3 Domestic Sales ,7.48,11.02,1.72,3.62,8.39,nan,In '000
10,Three Wheelers - Passenger & Goods - Q3 Performance Dec '22,Three Wheelers - Goods - Q3 Domestic Sales,30.11,29.68,28.96,22.30,27.24,nan,In '000
10,Three Wheelers - Passenger & Goods - Q3 Performance Dec '22,Three Wheelers - Passenger - Q3 Domestic Sales,136.42,146.88,44.27,60.25,111.27,nan,In '000
11,Two Wheelers Sub-Category - Q3 Performance Dec '22,Two Wheelers - Mopeds - Q3 Performance,216.78,163.39,210.94,131.31,105.06,nan,In '000
11,Two Wheelers Sub-Category - Q3 Performance Dec '22,Two Wheelers - Motorcycles - Q3 Performance,"3,170.45","2,708.24","3,153.69","2,444.41","2,532.78",nan,In '000
11,Two Wheelers Sub-Category - Q3 Performance Dec '22,Two Wheelers - Scooters - Q3 Performance,"1,571.06","1,346.52","1,417.48","1,054.40","1,221.18",nan,In '000
12,Q3 Export Performance Dec '22,Commercial Vehicle Exports (Q3),23.29,15.73,16.76,26.07,18.64,nan,In '000
12,Q3 Export Performance Dec '22,Passenger Vehicle Exports (Q3),160.35,175.02,136.02,139.36,170.53,nan,In '000
12,Q3 Export Performance Dec '22,Three Wheeler Exports (Q3),138.44,133.84,118.56,128.04,91.37,nan,In '000
12,Q3 Export Performance Dec '22,Two Wheeler Exports (Q3),789.91,891.74,"1,064.27","1,095.90",846.51,nan,In '000
13,Passenger Vehicle: Sub-Category - CY(Jan-Dec) Performance Dec '22,PVs - Passenger Cars - CY(Jan-Dec) Domestic Sales,nan,"1,819.88","1,432.30","1,543.53","1,737.17",nan,In '000
13,Passenger Vehicle: Sub-Category - CY(Jan-Dec) Performance Dec '22,PVs - Utility Vehicles - CY(Jan-Dec) Domestic Sales,nan,984.87,897.42,"1,419.65","1,922.80",nan,In '000
13,Passenger Vehicle: Sub-Category -CY(Jan-Dec) Performance Dec '22,PVs - Vans - CY(Jan-Dec) Domestic Sales,nan,157.30,103.75,119.24,132.47,nan,In '000
14,Commercial Vehicles: Sub-Category - CY(Jan-Dec) Performance Dec '22,LCV - CY(Jan-Dec) Domestic Sales,nan,566.44,376.41,449.98,598.13,nan,In '000
14,Commercial Vehicles: Sub-Category - CY(Jan-Dec) Performance Dec '22,M&HCV - CY(Jan-Dec) Domestic Sales,nan,288.30,128.69,227.14,335.27,nan,In '000
15,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance Dec '22,LCV Goods - CY(Jan-Dec) Domestic Sales,nan,514.62,358.81,432.30,560.91,nan,In '000
15,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance Dec '22,LCV Passenger - CY(Jan-Dec) Domestic Sales,nan,51.82,17.60,17.68,37.22,nan,In '000
15,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance Dec '22,M&HCV Goods - CY(Jan-Dec) Domestic Sales,nan,246.68,115.31,215.95,305.88,nan,In '000
15,Commercial Vehicles- Passengers & Goods - CY(Jan-Dec) Performance Dec '22,M&HCV Passenger - CY(Jan-Dec) Domestic Sales,nan,41.62,13.39,11.19,29.39,nan,In '000
16,Three Wheelers - Passenger & Goods - CY(Jan-Dec) Performance Dec '22,Three Wheelers - Goods - CY(Jan-Dec) Domestic Sales,nan,123.20,79.50,83.59,94.80,nan,In '000
16,Three Wheelers - Passenger & Goods - CY(Jan-Dec) Performance Dec '22,Three Wheelers - Passenger - CY(Jan-Dec) Domestic Sales,nan,564.25,183.00,181.16,323.71,nan,In '000
17,Two Wheelers Sub-Category - CY(Jan-Dec) Performance Dec '22,Two Wheelers - Mopeds - CY(Jan-Dec) Performance,nan,713.98,603.24,519.01,441.97,nan,In '000
17,Two Wheelers Sub-Category - CY(Jan-Dec) Performance Dec '22,Two Wheelers - Motorcycles - CY(Jan-Dec) Performance,nan,"12,011.69","9,459.97","9,616.58","10,127.79",nan,In '000
17,Two Wheelers Sub-Category - CY(Jan-Dec) Performance Dec '22,Two Wheelers - Scooters - CY(Jan-Dec) Performance,nan,"5,841.18","4,205.63","4,398.23","5,077.53",nan,In '000
18,CY(Jan-Dec) Export Performance Dec '22,Commercial Vehicle Exports - CY(Jan-Dec),nan,70.70,44.30,84.98,88.30,nan,In '000
18,CY(Jan-Dec) Export Performance Dec '22,Passenger Vehicle Exports - CY(Jan-Dec),nan,706.16,413.02,537.22,644.92,nan,In '000
18,CY(Jan-Dec) Export Performance Dec '22,Three-Wheeler Exports - CY(Jan-Dec),nan,529.45,382.76,507.65,417.18,nan,In '000
18,CY(Jan-Dec) Export Performance Dec '22,Two-Wheeler Exports - CY(Jan-Dec),nan,"3,452.48","3,011.68","4,446.91","4,053.25",nan,In '000
