Slide_No,Chart_Title,Variable_Column,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Unit
3,Domestic Sales - December Performance Dec '22,Passenger Vehicle - December Performance,238.75,222.73,253.00,219.42,235.31,nan,In '000
3,Domestic Sales - December Performance Dec '22,Three Wheeler - December Performance,43.65,53.80,22.48,28.18,38.69,nan,In '000
3,Domestic Sales - December Performance Dec '22,Two Wheeler - December Performance,"1,259.01","1,050.04","1,127.92","1,015.94","1,045.05",nan,In '000
4,Domestic Sales - Q3(Oct-Dec) Performance Dec '22,Commercial Vehicle - Q3 Performance,235.94,195.21,193.03,194.71,227.11,nan,In '000
4,Domestic Sales - Q3(Oct-Dec) Performance Dec '22,Passenger Vehicle - Q3 Performance,788.98,784.62,897.91,761.12,934.96,nan,In '000
4,Domestic Sales - Q3(Oct-Dec) Performance Dec '22,Three Wheeler - Q3 Performance,166.53,176.56,73.23,82.55,138.51,nan,In '000
4,Domestic Sales - Q3(Oct-Dec) Performance Dec '22,Two Wheeler - Q3 Performance,"4,958.29","4,218.16","4,782.11","3,630.12","3,859.03",nan,In '000
5,Monthly Domestic Sales Cumulative -  Nov '23,Passenger Vehicle,"2,294.50","1,858.18","1,455.56","1,829.69","2,504.15","2,700.40",In '000
5,Monthly Domestic Sales Cumulative -  Nov '23,Three Wheeler,477.16,453.46,110.21,149.81,296.43,476.37,In '000
5,Monthly Domestic Sales Cumulative -  Nov '23,Two Wheeler,"15,267.78","12,863.76","9,639.27","9,164.27","11,213.13","12,258.60",In '000
6,Domestic Sales - CY(Jan-Dec) Performance Dec '22,Commercial Vehicle - CY(Jan-Dec) Performance,nan,854.74,505.10,677.12,933.40,nan,In '000
6,Domestic Sales - CY(Jan-Dec) Performance Dec '22,Passenger Vehicle -CY(Jan-Dec) Performance,nan,"2,962.05","2,433.47","3,082.42","3,792.44",nan,In '000
6,Domestic Sales - CY(Jan-Dec) Performance Dec '22,Three Wheeler - CY(Jan-Dec) Performance,nan,687.45,262.50,264.76,418.51,nan,In '000
6,Domestic Sales - CY(Jan-Dec) Performance Dec '22,Two Wheeler - CY(Jan-Dec) Performance,nan,"18,566.86","14,269.82","14,533.82","15,647.29",nan,In '000
